restaurant_id,name,area,cuisine,price_band,rating,review_count,source,source_table,address,restaurant_url,has_menu_data
142,Kababjees Fried Chicken - Dha Phase 5 Lahore,DHA,Deals & Combos,moderate,4.7,6959,foodpanda_menu_scrape,restaurants_from_menu,Plot #150 Khayaban-e-Jinnah Phase 5 Dha,https://www.foodpanda.pk/restaurant/lca8/kababjees-fried-chicken-dha-phase-5-lahore,True
143,Kababjees Restaurant Lahore,Lahore,BBQ & Grill,premium,4.8,1572,foodpanda_menu_scrape,restaurants_from_menu,"Plot #3, Askari XI, Lahore, Punjab 54400",https://www.foodpanda.pk/restaurant/lqz4/kababjees-restaurant-lahore,True
144,Karachi Hot N Spicy - DHA,DHA,BBQ & Grill,moderate,4.8,36829,foodpanda_menu_scrape,restaurants_from_menu,"74 H Commercial، Sector H Dha Phase 1, Lahore",https://www.foodpanda.pk/restaurant/s5gf/karachi-hot-n-spicy-dha,True
145,Karachi Naseeb Biryani & Murgh Pulao - Chatri Chowk,Lahore,BBQ & Grill,budget,3.4,528,foodpanda_menu_scrape,restaurants_from_menu,"68 Chatri Chowk, Haji Muhammad Usman Road, Punjab Small Industry, D Block, Lahore",https://www.foodpanda.pk/restaurant/oxpr/karachi-naseeb-biryani-and-murgh-pulao-chatri-chowk,True
146,Layers - DHA V,Lahore,Desserts,premium,5.0,6894,foodpanda_menu_scrape,restaurants_from_menu,"Amsons Distributers, Plaza 80،, Street 6, Sector C Phase 5 D.H.A",https://www.foodpanda.pk/restaurant/b2mb/layers-dha-v,True
147,Mary Browns Phase 5,DHA,Other,moderate,4.8,1511,foodpanda_menu_scrape,restaurants_from_menu,136C C - DHa phase 5,https://www.foodpanda.pk/restaurant/fp17/mary-browns-phase-5,True
148,McDonald's - Def Phase -5,DHA,Meat Mains,premium,4.4,20773,foodpanda_menu_scrape,restaurants_from_menu,McDonald’s 146 CC commercial building DHA phase 5 Lahore,https://www.foodpanda.pk/restaurant/u4qj/mcdonalds-def-phase-5,True
149,Nou Lakha Bar B Q & Karahi,Lahore,BBQ & Grill,moderate,4.7,3154,foodpanda_menu_scrape,restaurants_from_menu,"St 1, A, Phase 1 Cantt View Housing Scheme",https://www.foodpanda.pk/restaurant/nhuz/nou-lakha-bar-b-q-and-karahi,True
150,OPTP - Phase 5,DHA,Deals & Combos,moderate,4.7,1323,foodpanda_menu_scrape,restaurants_from_menu,"Plot no 254/4 sector g , phase 5 DHA Lahore",https://www.foodpanda.pk/restaurant/o0nv/optp-phase-5,True
151,Papa Johns - Dha Phase 5,DHA,Beverages,moderate,4.6,3717,foodpanda_menu_scrape,restaurants_from_menu,"95-CCA, DHA Phase 5 Lahore",https://www.foodpanda.pk/restaurant/rl89/papa-johns-dha-phase-5,True
152,Pizza Hut - DHA Phase 4,DHA,Pizza,moderate,4.9,510,foodpanda_menu_scrape,restaurants_from_menu,"F.F Market, DHA Phase 4 Lahore, 54000",https://www.foodpanda.pk/restaurant/mmpz/pizza-hut-dha-phase-4,True
153,Qaffa,DHA,Beverages,moderate,0.0,0,foodpanda_menu_scrape,restaurants_from_menu,153/3 A DHA phase 8 Broadway LHR,https://www.foodpanda.pk/restaurant/gi25/qaffa-gi25,True
154,Rax Pizza Shawarma & Burgers,DHA,Deals & Combos,moderate,4.6,9,foodpanda_menu_scrape,restaurants_from_menu,"Floor # 03. Haly Tower, Sector R DHA Phase 2, Lahore",https://www.foodpanda.pk/restaurant/s6a0/rax-pizza-shawarma-and-burgers-s6a0,True
155,Rina's Kitchenette - Dolmen Mall,DHA,Beverages,premium,4.8,308,foodpanda_menu_scrape,restaurants_from_menu,"Dolmen Mall, Phase 6, DHA",https://www.foodpanda.pk/restaurant/yfwv/rinas-kitchenette-dolmen-mall,True
156,Savour Foods - Askari XI,DHA,Rice & Biryani,moderate,4.9,5754,foodpanda_menu_scrape,restaurants_from_menu,"Panda Kitchen, Marvel Event Complex, Bedian Rd, Sector A DHA, Next to Butt Karahi Restaurant, Lahore.",https://www.foodpanda.pk/restaurant/frbp/savour-foods-askari-xi,True
157,Shahenshah Sajji and Grill - DHA,DHA,Deals & Combos,moderate,4.7,999,foodpanda_menu_scrape,restaurants_from_menu,Rehman centre 2 M block phase 5 DHA service lane ring road Lahore.,https://www.foodpanda.pk/restaurant/vvql/shahenshah-sajji-and-grill-dha,True
158,Shawarma Stop - DHA,DHA,Other,premium,4.8,1686,foodpanda_menu_scrape,restaurants_from_menu,Shawarma Stop - DHA,https://www.foodpanda.pk/restaurant/vjru/shawarma-stop-dha,True
159,Simply Sufi XPRS-Penta Square,Lahore,Burgers,moderate,4.8,209,foodpanda_menu_scrape,restaurants_from_menu,"Pentasquare mall, Sector C Phase 5 D.H.A, Lahore, Punjab",https://www.foodpanda.pk/restaurant/phrw/simply-sufi-xprs-penta-square,True
160,Sultan Shawarma - DHA,DHA,Other,moderate,4.8,4414,foodpanda_menu_scrape,restaurants_from_menu,"22-T, civic commercial area, phase 2, DHA, Lahore. Near lalik chowk",https://www.foodpanda.pk/restaurant/boxk/sultan-shawarma-dha,True
161,Urwa's Kitchen,Lahore,Deals & Combos,moderate,4.8,6942,foodpanda_menu_scrape,restaurants_from_menu,"House #203, Pace Woodlands, Bedian Road, Lahore",https://www.foodpanda.pk/restaurant/ct07/urwas-kitchen,True
162,Wafir - DHA,DHA,Add-ons & Condiments,moderate,4.7,2157,foodpanda_menu_scrape,restaurants_from_menu,"32, Sector Z DHA Phase 3, Lahore, Punjab",https://www.foodpanda.pk/restaurant/x9uk/wafir-dha,True
163,XO Chinese Chips - DHA,DHA,Sides & Appetizers,premium,4.7,239,foodpanda_menu_scrape,restaurants_from_menu,", Sector T DHA Phase 2, Lahore, Pakistan",https://www.foodpanda.pk/restaurant/cdjy/xo-chinese-chips-dha,True
164,Zero Degree - DHA,DHA,Desserts,moderate,4.8,1293,foodpanda_menu_scrape,restaurants_from_menu,"Shop no. 1, plot no. 158, Block H, phase 1, DHA.",https://www.foodpanda.pk/restaurant/irtz/zero-degree-dha,True
